epoch,ax,ay,az,gx,gy,gz,load,offset,error,force,frame,RF,LF,RH,LH
1670699046873.00,-1.037924377,1.6550650789686752,-0.148122233,-140.96,52.88,12.01,96507,31936,0,252.3598503986421,143,0,0,0,1
1670699046882.00,0.6225947577503678,0.5548779302141111,0.39152486548651916,-50.98,129.77,-4.37,106208,31936,0,277.7861273831068,144,0,0,0,0
1670699046889.00,1.5431232864719076,-0.23529588,0.3411524312832373,43.69,90.42,-58.59,106208,31936,0,277.7861273831068,144,0,0,0,0
1670699046898.00,1.2936613897371763,-0.375459292,0.000759706,125.1,-56.17,-89.72,115297,31936,0,301.60835514434774,146,0,0,0,0
1670699046905.00,0.9242088286419422,-0.105615267,-1.379654123,141.39,-216.5,-95.3,115297,31936,0,301.60835514434774,146,0,0,0,0
1670699046914.00,0.37476489964642345,0.084233306,-1.920089723,147.12,-206.47,-106.7,118536,31936,0,310.09775944830415,147,1,0,0,0
1670699046921.00,0.025328555325556487,0.10408358744985322,-2.360547316,168.68,-173.25,-101.04,118536,31936,0,310.09775944830415,148,1,0,0,0
1670699046930.00,-0.264101428,0.30393272776633445,-1.671026422,173.01,-149.28,-84.93,119925,31936,0,313.7383221461107,149,1,0,0,0
1670699046937.00,0.346473678,0.053777823,-1.381525779,135.04,-147.41,-88.82,119925,31936,0,313.7383221461107,150,1,0,0,0
1670699046946.00,1.4570525618335965,-0.736384074,-1.72204341,143.97,-228.62,-84.38,121362,31936,0,317.5046926261309,151,1,0,0,0
1670699046953.00,0.3676337273955751,-1.036555854,-2.182576683,139.76,-264.38,-95.04,121362,31936,0,317.5046926261309,152,1,0,0,0
1670699046962.00,-1.611784562,-0.726740188,-1.443122272,126.7,-271.21,-77.94,123097,31936,0,322.0521197540606,153,1,0,0,0
1670699046969.00,-1.141204062,-1.746939403,0.31632381818939403,167.6,-193.06,-24.37,123097,31936,0,322.0521197540606,154,1,0,0,0
1670699046978.00,-0.380626239,-2.397155364,2.735765957529084,229.28,-118.05,38.2,126086,31936,0,329.8862751923211,155,1,1,0,0
1670699046985.00,0.10994780042903081,-2.457389272,1.6652083539601152,253.16,-144.52,54.36,126086,31936,0,329.8862751923211,156,1,1,0,0
1670699046994.00,-0.189482847,-0.727641516,1.324654610977273,190.31,-87.97,-10.18,116429,31936,0,304.5753220082189,157,0,1,0,0
1670699047003.00,1.0810809587172003,0.4220882281706265,0.6741076530707836,166.95,41.51,-66.45,106216,31936,0,277.80709534680904,158,0,1,0,0
1670699047009.00,0.8016382551884174,0.6318006402257329,1.5135698671183115,122.89,71.66,-82.18,106216,31936,0,277.80709534680904,159,0,1,0,0
1670699047019.00,0.8921878330541484,1.0814963812293767,1.2330431836641877,98.94,45.74,-67.92,96713,31936,0,252.89977546397557,160,0,1,0,0
1670699047025.00,-0.067271828,0.19117588082173875,0.3825290738911775,138.11,-4.44,-67.92,96713,31936,0,252.89977546397557,161,0,1,0,0
1670699047035.00,-0.946742457,0.17083930989960783,-0.907971359,140.86,-41.47,-55.82,94416,31936,0,246.87934888596135,162,0,1,0,0
1670699047041.00,-2.766225721,-1.119513302,0.4015428512188149,63.49,-143.17,-55.72,94416,31936,0,246.87934888596135,163,0,1,0,0
1670699047051.00,-3.865722787,-1.639881844,1.401072662022004,2.5,22.89,-40.67,92343,31936,0,241.4460252916108,164,0,1,0,0
1670699047057.00,-1.225233894,-2.900265825,1.7806188681155048,26.16,94.69,-20.45,92343,31936,0,241.4460252916108,165,0,0,0,0
1670699047067.00,0.005241715,-2.540664047,1.6401818184415922,-57.28,126.58,31.73,89106,31936,0,232.96186297857997,166,0,0,0,0
1670699047073.00,-0.244294555,-1.901074385,1.529761243879434,-67.68,161.5,70.39,89106,31936,0,232.96186297857997,167,0,0,0,0
