epoch,ax,ay,az,gx,gy,gz,load,offset,error,force,frame,LF,RF,LH,RH,
1670359907193.00,-0.135820847,0.8663194443130213,-0.606161068,-129.9,-106.74,-101.32,-5958,14228,0,-15.98824194,170,0,0,0,0,
1670359907202.00,-0.235688832,1.0958607112036252,-0.316059026,-136.86,-135.91,-87.76,-5605,14228,0,-15.05498326,172,0,0,0,0,
1670359907209.00,-0.22557306,0.6154038731550999,0.12405250046649136,-139.33,-175.5,-75.15,-5605,14228,0,-15.05498326,174,0,0,1,0,
1670359907219.00,-0.735474976,-0.025048604,0.21417201173090494,-145.92,-219.37,-55.22,-5722,14228,0,-15.36430696,176,0,0,1,0,
1670359907226.00,-1.105395861,-0.355494467,0.37429800528227486,-150.81,-218.31,-36.95,-5722,14228,0,-15.36430696,178,0,0,1,0,
1670359907236.00,-1.275336717,-0.385931502,0.38442889530750424,-172.65,-138.57,32.19,-6035,14228,0,-16.19181395,180,0,0,1,0,
1670359907243.00,-1.355298138,-0.506357403,0.23456297131335546,-175.58,-111.95,48.62,-6035,14228,0,-16.19181395,182,0,0,1,0,
1670359907252.00,-0.705280249,-0.436769709,-0.055301599,-199.11,-36.92,55.78,-5542,14228,0,-14.88842435,184,0,0,1,0,
1670359907259.00,-0.365282736,-0.237165787,-0.255166721,-231.22,-3.72,50.44,-5542,14228,0,-14.88842435,186,0,0,1,0,
1670359907269.00,-0.115304973,0.2124571393903315,-0.695034278,-273.55,41.39,36.53,-4419,14228,0,-11.91944559,188,0,0,1,1,
1670359907276.00,0.1146538319443974,0.6121019036970539,-1.054906023,-286.72,68.77,35.21,-4419,14228,0,-11.91944559,190,0,0,1,1,
1670359907286.00,0.5645945184381236,0.9417712562075926,-1.174783443,-286.72,102.95,37.75,-4168,14228,0,-11.25585373,192,0,0,1,1,
1670359907293.00,0.6545178558018787,1.5314677085330881,-1.134667645,-286.72,98.63,32.33,-4168,14228,0,-11.25585373,194,0,0,1,1,
1670359907302.00,0.29442444789949185,2.6311933465611124,-0.304559317,-286.1,24.95,55.45,-2121,14228,0,-5.844010889,196,0,0,0,1,
1670359907309.00,-0.295685281,3.140949576916476,0.8355411739755005,-185.69,-20.75,99.85,-2121,14228,0,-5.844010889,198,0,0,0,1,
1670359907319.00,-0.945810975,2.280736865927923,0.085633566,30.53,81.37,121.91,-2358,14228,0,-6.470589664,200,0,0,0,1,
1670359907326.00,-1.045952163,1.7405546382114778,-0.324282471,96.78,145.86,140.93,-2358,14228,0,-6.470589664,202,0,0,0,1,
1670359907336.00,-0.656108085,0.500401412,-0.784207303,179.26,177.13,162.87,-2455,14228,0,-6.727037517,204,0,0,0,1,
1670359907343.00,-0.336277652,0.26027508251130144,-0.74414118,192.8,158.18,145.17,-2455,14228,0,-6.727037517,206,0,0,0,0,
1670359907352.00,0.23354047871328065,0.2001732089340008,-1.334084099,204.41,169.13,83.89,-2538,14228,0,-6.946472278,208,0,0,0,0,
1670359907359.00,0.28334776379072024,0.30009319047724914,-1.504035686,192.84,197.18,23.07,-2538,14228,0,-6.946472278,210,1,0,0,0,
1670359907369.00,-0.336854347,0.2900323208311851,-1.703995082,176.06,207.18,2.82,-3761,14228,0,-10.17983026,212,1,0,0,0,
1670359907376.00,-1.247064395,0.069987792,-2.343960823,161.89,208.23,24.27,-3761,14228,0,-10.17983026,214,1,0,0,0,
